Date,Open,High,Low,Close,Volume,Day,Weekday,Week,Month,Year
1993-12-07,26.89880526328262,26.916737800124807,26.845007652756053,26.88087272644043,88800,7,1,49,12,1993
1993-12-08,26.88087272644043,26.88087272644043,26.845007652756053,26.88087272644043,146700,8,2,49,12,1993
1993-12-09,26.88088625533833,26.91675134707327,26.755358434266036,26.791223526000977,416500,9,3,49,12,1993
1993-12-10,26.809147381286824,26.809147381286824,26.683619600906216,26.737417221069336,412900,10,4,49,12,1993
1993-12-13,26.737412784576417,26.898805618286133,26.7015477104187,26.898805618286133,273200,13,0,50,12,1993
1993-12-14,26.91673998964001,26.91673998964001,26.701549530029297,26.701549530029297,41900,14,1,50,12,1993
1993-12-15,26.737421547556856,26.755354090512963,26.665691375732422,26.665691375732422,82600,15,2,50,12,1993
1993-12-16,26.77329219634028,26.77329219634028,26.719494556294052,26.755359649658203,78200,16,3,50,12,1993
1993-12-17,26.812124457135297,26.920456273123722,26.79406915447056,26.902400970458984,104700,17,4,50,12,1993
1993-12-20,26.884344988150506,26.956566196983683,26.866289685942213,26.93851089477539,68800,20,0,51,12,1993
1993-12-21,26.90239434925277,26.90239434925277,26.812117858147893,26.848228454589844,205700,21,1,51,12,1993
1993-12-22,26.92043680179573,27.04682382903421,26.86627093297924,27.02876853942871,410300,22,2,51,12,1993
1993-12-23,27.010730743408203,27.06489664730541,26.974620140810064,27.010730743408203,533800,23,3,51,12,1993
1993-12-27,27.010737530728605,27.155179977416992,27.010737530728605,27.155179977416992,447100,27,0,52,12,1993
1993-12-28,27.137116034140078,27.22739253458632,27.11906073405083,27.20933723449707,880600,28,1,52,12,1993
1993-12-29,27.227387478343672,27.245442775079972,27.155166291398462,27.173221588134766,266700,29,2,52,12,1993
1993-12-30,27.15516447814168,27.15516447814168,27.010722113896243,27.06488800048828,219900,30,3,52,12,1993
1993-12-31,27.11906041657661,27.155171016332368,26.902396818042043,26.920452117919922,312900,31,4,52,12,1993
1994-01-03,26.920449647473745,26.956560243915693,26.812117858147893,26.848228454589844,960900,3,0,1,1,1994
1994-01-04,26.884333235580332,26.956554412841797,26.848222646949598,26.956554412841797,164300,4,1,1,1,1994
1994-01-05,26.99267544210913,27.02878604470727,26.884343634314714,27.010730743408203,710900,5,2,1,1,1994
1994-01-06,27.046841346006342,27.06489664730541,26.974620140810064,27.010730743408203,201000,6,3,1,1,1994
1994-01-07,27.064889807716952,27.19127688487107,26.992668620771745,27.173221588134766,775500,7,4,1,1,1994
1994-01-10,27.209337546335423,27.49822235107422,27.137116345150723,27.49822235107422,593700,10,0,2,1,1994
1994-01-11,27.480150877801997,27.480150877801997,27.35376385011171,27.444040298461914,295200,11,1,2,1,1994
1994-01-12,27.462101061981503,27.462101061981503,27.263492836023715,27.353769302368164,158400,12,2,2,1,1994
1994-01-13,27.28156852722168,27.335734447527216,27.245457913684657,27.28156852722168,244300,13,3,2,1,1994
1994-01-14,27.37183727649143,27.444058483025707,27.37183727649143,27.389892578125,137200,14,4,2,1,1994
